pix_x	pix_y
40_40	5917.538	6462.159
26_46	3616.274	7539.186
37_45	5424.41	7359.681
40_38	5917.538	6103.15
33_45	4766.906	7359.681
48_58	7232.547	9693.239
38_46	5588.786	7539.186
53_53	8054.427	8795.717
33_51	4766.906	8436.708
26_44	3616.274	7180.177
36_52	5260.034	8616.212
23_41	3123.145	6641.664
38_40	5588.786	6462.159
25_43	3451.897	7000.673
53_51	8054.427	8436.708
35_41	5095.658	6641.664
52_52	7890.051	8616.212
50_38	7561.299	6103.15
24_42	3287.521	6821.168
39_55	5753.162	9154.726
55_53	8383.179	8795.717
54_48	8218.803	7898.195
43_57	6410.667	9513.735
51_45	7725.675	7359.681
41_41	6081.915	6641.664
38_54	5588.786	8975.221
30_38	4273.778	6103.15
27_43	3780.65	7000.673
42_38	6246.291	6103.15
42_40	6246.291	6462.159
33_53	4766.906	8795.717
42_44	6246.291	7180.177
55_43	8383.179	7000.673
32_38	4602.53	6103.15
38_50	5588.786	8257.204
52_54	7890.051	8975.221
38_42	5588.786	6821.168
35_55	5095.658	9154.726
52_44	7890.051	7180.177
32_42	4602.53	6821.168
52_50	7890.051	8257.204
45_51	6739.419	8436.708
37_47	5424.41	7718.69
54_50	8218.803	8257.204
51_47	7725.675	7718.69
33_47	4766.906	7718.69
46_54	6903.795	8975.221
41_39	6081.915	6282.655
47_37	7068.171	5923.646
40_58	5917.538	9693.239
33_49	4766.906	8077.699
42_56	6246.291	9334.23
52_56	7890.051	9334.23
33_41	4766.906	6641.664
54_40	8218.803	6462.159
54_52	8218.803	8616.212
46_56	6903.795	9334.23
35_49	5095.658	8077.699
33_37	4766.906	5923.646
40_54	5917.538	8975.221
41_37	6081.915	5923.646
36_46	5260.034	7539.186
41_43	6081.915	7000.673
50_48	7561.299	7898.195
47_47	7068.171	7718.69
50_42	7561.299	6821.168
27_41	3780.65	6641.664
42_54	6246.291	8975.221
44_54	6575.043	8975.221
54_54	8218.803	8975.221
38_36	5588.786	5744.142
38_48	5588.786	7898.195
53_49	8054.427	8077.699
48_40	7232.547	6462.159
32_36	4602.53	5744.142
36_38	5260.034	6103.15
25_35	3451.897	5564.637
32_48	4602.53	7898.195
55_51	8383.179	8436.708
38_52	5588.786	8616.212
51_49	7725.675	8077.699
30_36	4273.778	5744.142
28_38	3945.026	6103.15
41_47	6081.915	7718.69
51_51	7725.675	8436.708
45_37	6739.419	5923.646
41_35	6081.915	5564.637
46_38	6903.795	6103.15
27_33	3780.65	5205.628
46_42	6903.795	6821.168
47_39	7068.171	6282.655
30_50	4273.778	8257.204
37_55	5424.41	9154.726
36_50	5260.034	8257.204
28_34	3945.026	5385.133
34_40	4931.282	6462.159
46_40	6903.795	6462.159
33_39	4766.906	6282.655
45_47	6739.419	7718.69
27_37	3780.65	5923.646
48_56	7232.547	9334.23
26_34	3616.274	5385.133
52_42	7890.051	6821.168
48_54	7232.547	8975.221
25_37	3451.897	5923.646
35_47	5095.658	7718.69
47_49	7068.171	8077.699
40_50	5917.538	8257.204
34_48	4931.282	7898.195
48_52	7232.547	8616.212
32_40	4602.53	6462.159
42_58	6246.291	9693.239
47_45	7068.171	7359.681
36_36	5260.034	5744.142
39_53	5753.162	8795.717
37_43	5424.41	7000.673
54_44	8218.803	7180.177
47_57	7068.171	9513.735
36_40	5260.034	6462.159
47_55	7068.171	9154.726
55_49	8383.179	8077.699
47_51	7068.171	8436.708
32_50	4602.53	8257.204
43_35	6410.667	5564.637
39_37	5753.162	5923.646
45_57	6739.419	9513.735
50_50	7561.299	8257.204
37_41	5424.41	6641.664
31_35	4438.154	5564.637
56_52	8547.556	8616.212
48_38	7232.547	6103.15
39_39	5753.162	6282.655
43_37	6410.667	5923.646
35_35	5095.658	5564.637
23_37	3123.145	5923.646
24_40	3287.521	6462.159
27_39	3780.65	6282.655
39_43	5753.162	7000.673
43_39	6410.667	6282.655
48_50	7232.547	8257.204
27_45	3780.65	7359.681
40_42	5917.538	6821.168
38_34	5588.786	5385.133
36_54	5260.034	8975.221
34_50	4931.282	8257.204
32_46	4602.53	7539.186
34_44	4931.282	7180.177
53_43	8054.427	7000.673
44_56	6575.043	9334.23
30_34	4273.778	5385.133
31_43	4438.154	7000.673
35_45	5095.658	7359.681
39_35	5753.162	5564.637
45_49	6739.419	8077.699
37_49	5424.41	8077.699
25_39	3451.897	6282.655
41_51	6081.915	8436.708
24_34	3287.521	5385.133
36_44	5260.034	7180.177
46_58	6903.795	9693.239
23_45	3123.145	7359.681
50_54	7561.299	8975.221
42_42	6246.291	6821.168
42_36	6246.291	5744.142
49_45	7396.923	7359.681
51_55	7725.675	9154.726
41_45	6081.915	7359.681
35_51	5095.658	8436.708
36_48	5260.034	7898.195
31_41	4438.154	6641.664
38_56	5588.786	9334.23
35_53	5095.658	8795.717
39_57	5753.162	9513.735
32_52	4602.53	8616.212
55_41	8383.179	6641.664
36_34	5260.034	5385.133
34_36	4931.282	5744.142
53_55	8054.427	9154.726
24_38	3287.521	6103.15
31_39	4438.154	6282.655
31_37	4438.154	5923.646
30_40	4273.778	6462.159
23_39	3123.145	6282.655
40_34	5917.538	5385.133
34_54	4931.282	8975.221
36_42	5260.034	6821.168
31_51	4438.154	8436.708
53_45	8054.427	7359.681
30_46	4273.778	7539.186
46_52	6903.795	8616.212
46_46	6903.795	7539.186
45_39	6739.419	6282.655
31_49	4438.154	8077.699
45_55	6739.419	9154.726
26_38	3616.274	6103.15
50_56	7561.299	9334.23
39_47	5753.162	7718.69
48_44	7232.547	7180.177
28_40	3945.026	6462.159
44_52	6575.043	8616.212
46_50	6903.795	8257.204
27_35	3780.65	5564.637
52_40	7890.051	6462.159
34_34	4931.282	5385.133
28_48	3945.026	7898.195
37_35	5424.41	5564.637
29_43	4109.402	7000.673
49_41	7396.923	6641.664
35_39	5095.658	6282.655
51_43	7725.675	7000.673
43_55	6410.667	9154.726
37_53	5424.41	8795.717
32_34	4602.53	5385.133
45_45	6739.419	7359.681
45_41	6739.419	6641.664
31_47	4438.154	7718.69
43_51	6410.667	8436.708
29_41	4109.402	6641.664
23_35	3123.145	5564.637
45_53	6739.419	8795.717
27_47	3780.65	7718.69
25_45	3451.897	7359.681
40_44	5917.538	7180.177
48_42	7232.547	6821.168
44_38	6575.043	6103.15
51_53	7725.675	8795.717
37_39	5424.41	6282.655
35_43	5095.658	7000.673
29_35	4109.402	5564.637
23_43	3123.145	7000.673
40_52	5917.538	8616.212
34_46	4931.282	7539.186
35_37	5095.658	5923.646
43_43	6410.667	7000.673
37_51	5424.41	8436.708
26_36	3616.274	5744.142
38_38	5588.786	6103.15
33_43	4766.906	7000.673
26_42	3616.274	6821.168
40_48	5917.538	7898.195
50_46	7561.299	7539.186
40_36	5917.538	5744.142
47_41	7068.171	6641.664
39_49	5753.162	8077.699
28_42	3945.026	6821.168
52_48	7890.051	7898.195
43_47	6410.667	7718.69
50_40	7561.299	6462.159
25_47	3451.897	7718.69
30_48	4273.778	7898.195
54_42	8218.803	6821.168
50_52	7561.299	8616.212
51_41	7725.675	6641.664
49_47	7396.923	7718.69
49_43	7396.923	7000.673
42_52	6246.291	8616.212
31_33	4438.154	5205.628
44_50	6575.043	8257.204
45_43	6739.419	7000.673
34_38	4931.282	6103.15
41_49	6081.915	8077.699
25_41	3451.897	6641.664
47_53	7068.171	8795.717
42_48	6246.291	7898.195
31_45	4438.154	7359.681
40_46	5917.538	7539.186
43_41	6410.667	6641.664
34_52	4931.282	8616.212
28_46	3945.026	7539.186
24_36	3287.521	5744.142
49_49	7396.923	8077.699
33_35	4766.906	5564.637
44_46	6575.043	7539.186
39_41	5753.162	6641.664
42_50	6246.291	8257.204
29_45	4109.402	7359.681
28_50	3945.026	8257.204
33_33	4766.906	5205.628
44_42	6575.043	6821.168
42_46	6246.291	7539.186
43_45	6410.667	7359.681
49_51	7396.923	8436.708
50_44	7561.299	7180.177
26_48	3616.274	7898.195
34_42	4931.282	6821.168
32_44	4602.53	7180.177
28_36	3945.026	5744.142
28_44	3945.026	7180.177
30_42	4273.778	6821.168
29_39	4109.402	6282.655
48_46	7232.547	7539.186
38_44	5588.786	7180.177
52_38	7890.051	6103.15
43_49	6410.667	8077.699
43_53	6410.667	8795.717
52_46	7890.051	7539.186
37_37	5424.41	5923.646
56_40	8547.556	6462.159
39_51	5753.162	8436.708
53_47	8054.427	7718.69
29_49	4109.402	8077.699
51_39	7725.675	6282.655
49_39	7396.923	6282.655
49_37	7396.923	5923.646
24_44	3287.521	7180.177
46_44	6903.795	7180.177
54_46	8218.803	7539.186
29_51	4109.402	8436.708
47_43	7068.171	7000.673
53_41	8054.427	6641.664
29_47	4109.402	7718.69
29_37	4109.402	5923.646
26_40	3616.274	6462.159
53_39	8054.427	6282.655
44_44	6575.043	7180.177
49_55	7396.923	9154.726
44_40	6575.043	6462.159
30_44	4273.778	7180.177
